"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.769520958E0,4.172872467E0,-1.375040588E0,2.265389099E0
1.779472958E0,-1.212628326E0,-3.257226562E0,1.550924835E0
1.789423958E0,-2.893333282E0,-3.331172791E0,1.363364868E0
1.799374958E0,-2.777324524E0,-7.150181122E0,4.972958679E0
1.809326958E0,-1.887425079E0,-8.689579926E0,3.900588684E0
1.819277958E0,5.465135193E-1,-9.257498932E0,5.350323944E0
1.829228958E0,9.951306152E-1,-5.044509888E0,2.530188446E0
1.839180958E0,-6.595285034E-1,-2.299667816E0,3.244353333E0
1.849131958E0,2.472408600E0,-3.980073395E0,3.271297302E0
1.859082958E0,1.390608215E0,-8.789122925E0,2.278861084E0
1.869034958E0,2.456391907E-1,-8.966204681E0,2.680475922E0
1.878985958E0,7.334747314E-3,-9.413773956E0,2.302661591E0
1.888936958E0,4.984634399E-2,-1.091949280E1,4.587210846E0
1.898888958E0,-2.661465454E-1,-1.213436646E1,6.688990173E0
1.908839958E0,4.902305603E-1,-1.244122833E1,7.274572449E0
1.918790958E0,1.943708038E0,-1.247281265E1,7.791896667E0
1.928742958E0,3.858077087E0,-1.013287857E1,4.438869324E0
1.938693958E0,5.031936035E0,-7.694000244E0,2.880460052E0
1.948644958E0,5.889053650E0,-6.673572235E0,1.685794373E0
1.958596958E0,6.005960541E0,-7.470065918E0,8.903485107E-1
1.968547958E0,4.374054108E0,-5.984405365E0,2.065554657E0
1.978498958E0,3.585793304E0,-7.801776123E0,4.833448792E0
1.988450958E0,1.662891998E0,-1.187046524E1,6.054459686E0
1.998401958E0,2.284549255E0,-1.230860413E1,4.937033386E0
2.008352958E0,3.816313934E0,-1.237746094E1,4.834945679E0
2.018304958E0,3.890409851E0,-1.053524185E1,4.262985077E0
2.028255958E0,4.813540192E0,-9.352551270E0,1.521885223E0
2.038207958E0,6.197113037E0,-9.402397614E0,8.891510010E-1
2.048158958E0,6.337221680E0,-9.574389954E0,7.738906860E-1
2.058109958E0,5.798641663E0,-1.025098297E1,1.328786774E0
2.068061958E0,4.563709717E0,-1.179367493E1,1.995650024E0
2.078012958E0,4.809947662E0,-1.224768082E1,2.074236603E0
2.087963958E0,5.973927155E0,-1.165715881E1,1.482966156E0
2.097915958E0,6.431675262E0,-1.091904373E1,7.932005310E-1
2.107866958E0,5.746100922E0,-1.142005188E1,7.550299072E-1
2.117817958E0,5.134622498E0,-1.173110504E1,8.376580811E-1
2.127769833E0,4.443359985E0,-1.095062805E1,8.985813904E-1
2.137720833E0,4.414769440E0,-9.881700897E0,3.604504395E-1
2.147671833E0,4.457430725E0,-9.043444061E0,4.251159668E-2
2.157623833E0,3.832630005E0,-8.263865204E0,6.075865173E-1
2.167574833E0,3.318000183E0,-7.362739105E0,6.466552734E-1
2.177525833E0,2.874173126E0,-6.906787262E0,8.919950867E-1
2.187477833E0,2.445464630E0,-6.474037170E0,7.611671448E-1
2.197428833E0,2.068548431E0,-5.860912170E0,2.841091919E-1
2.207380833E0,1.804796906E0,-5.418731689E0,1.160836029E0
2.217331833E0,1.782642975E0,-5.918692017E0,2.548899536E0
2.227282833E0,1.141975250E0,-6.283333740E0,3.424728241E0
2.237234833E0,7.822732544E-1,-6.473438416E0,2.647394714E0
2.247185833E0,1.425335999E0,-6.778504028E0,1.523681488E0
2.257136833E0,1.598076782E0,-7.301965485E0,9.939331055E-1
2.267088833E0,1.701362000E0,-7.811056824E0,7.858657837E-1
2.277039833E0,2.046244812E0,-8.466992798E0,8.440946960E-1
2.286990833E0,1.751657410E0,-9.258247375E0,1.107696533E0
2.296942833E0,1.300944672E0,-9.647438049E0,7.752378845E-1
2.306893833E0,1.379980316E0,-1.018407211E1,7.821235657E-1
2.316844833E0,1.296304321E0,-1.050680099E1,6.638694763E-1
2.326796833E0,1.320104828E0,-1.080557968E1,1.497336273E0
2.336747833E0,1.408720551E0,-1.120644608E1,1.957778778E0
2.346698833E0,1.401984558E0,-1.137125336E1,1.678309937E0
2.356650833E0,1.283431091E0,-1.082054855E1,1.655407562E0
2.366601833E0,1.549278259E0,-1.062146255E1,1.849553833E0
2.376553833E0,1.731449432E0,-1.065798660E1,1.924398193E0
2.386504833E0,1.832639008E0,-1.061562469E1,1.931882629E0
2.396455833E0,1.828298035E0,-1.063703018E1,1.911375275E0
2.406407833E0,1.831890564E0,-1.066127975E1,1.856589203E0
2.416358833E0,1.836830292E0,-1.081905167E1,1.409169617E0
2.426309833E0,1.627415771E0,-1.094628708E1,9.333091736E-1
2.436261833E0,1.269060974E0,-1.123324036E1,1.489253082E0
