"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.315609458E0,3.601510620E0,-8.977730713E0,7.545359344E0
1.325561458E0,2.411485291E0,-9.279353485E0,4.076023865E0
1.335513458E0,1.356778564E0,-9.143436127E0,4.508175201E0
1.345466458E0,1.719324646E0,-1.152019363E1,7.201075287E0
1.355418458E0,2.728076935E0,-1.172601562E1,1.017598892E1
1.365370458E0,-4.953199768E-1,-5.276228027E0,9.831854553E0
1.375322458E0,-8.041278076E-1,-4.517006836E0,-1.076112213E0
1.385274458E0,-2.034718781E0,-8.293204193E0,2.397564240E0
1.395226458E0,1.098266144E0,-7.693401489E0,1.057206528E1
1.405178458E0,5.026696930E0,-2.883154449E0,1.551373901E0
1.415130458E0,1.650018768E0,-4.211342468E0,3.074606323E0
1.425082458E0,1.726210327E0,-5.175188141E0,6.839127960E0
1.435034458E0,1.875449982E0,-1.471440125E0,-2.454895020E-1
1.444986458E0,9.379495239E-1,-1.247805176E0,1.185684357E0
1.454938708E0,3.907025299E0,-1.050066376E0,6.719676361E0
1.464890708E0,6.162235565E0,1.796414337E0,-8.657995605E-1
1.474842708E0,2.927013245E0,1.861828308E0,9.309141541E-1
1.484794708E0,1.511706390E0,4.550537109E-2,2.749931488E0
1.494746708E0,1.227447510E-1,-1.479523315E0,2.677931213E0
1.504699708E0,-2.227817230E0,-1.660796356E0,1.226100311E0
1.514651708E0,-2.760110321E0,-2.874322815E0,1.145118713E0
1.524603708E0,-3.448379059E0,-5.245541840E0,3.149001617E0
1.534555708E0,-2.237546997E0,-7.917485504E0,5.185366974E0
1.544507708E0,-9.843530273E-1,-9.113947449E0,7.131470032E0
1.554459708E0,6.965016174E-1,-9.975406036E0,6.850803680E0
1.564411708E0,1.592238922E0,-1.043001068E1,4.802014160E0
1.574363708E0,2.181413727E0,-1.133188522E1,3.440744934E0
1.584315708E0,1.226848755E0,-1.046758255E1,-8.367599487E-1
1.594267708E0,-1.042432251E0,-8.951684875E0,1.298549652E0
1.604219708E0,-7.044351196E-1,-9.399403839E0,3.655398560E0
1.614171708E0,8.071215820E-1,-1.072175400E1,6.154900818E0
1.624123708E0,1.360820160E0,-9.703870697E0,6.519392853E0
1.634075708E0,3.442541199E0,-9.289981384E0,5.068609772E0
1.644027708E0,3.229234772E0,-9.641899567E0,3.277883606E0
1.653979708E0,3.566633148E0,-8.466094666E0,1.213825836E0
1.663932708E0,4.215683441E0,-8.431516571E0,8.063731384E-1
1.673884708E0,4.254003754E0,-9.028026123E0,3.484903107E0
1.683836708E0,4.276007996E0,-1.055455170E1,4.922513580E0
1.693788708E0,4.898264008E0,-1.273207352E1,5.196593628E0
1.703740708E0,4.553381195E0,-1.276964539E1,4.880750427E0
1.713692708E0,4.055965576E0,-1.215831665E1,3.211571503E0
1.723644708E0,3.801644440E0,-1.097502731E1,2.057920532E0
1.733596708E0,3.769311676E0,-1.001088226E1,1.384470978E0
1.743548708E0,4.287384338E0,-1.016640884E1,6.480024719E-1
1.753500708E0,4.912334747E0,-1.071576645E1,7.165599060E-1
1.763452708E0,4.985382843E0,-1.088491470E1,1.426383820E0
1.773404708E0,4.349505157E0,-1.041100021E1,1.763183441E0
1.783356708E0,4.075874176E0,-1.030771500E1,1.655108185E0
1.793308708E0,3.888014832E0,-1.009006760E1,1.680555267E0
1.803261708E0,3.867956543E0,-9.957593079E0,1.595232697E0
1.813213708E0,3.881129150E0,-1.007375153E1,1.383423157E0
1.823165708E0,3.965852966E0,-9.707313538E0,1.214424591E0
1.833117708E0,3.810027008E0,-9.110953674E0,6.990463257E-1
1.843069708E0,3.477268982E0,-8.537047119E0,8.997789001E-1
1.853021708E0,2.973865814E0,-8.351433105E0,1.348545685E0
1.862973708E0,2.701132965E0,-8.436007233E0,1.963317261E0
1.872925708E0,2.543510742E0,-8.449030151E0,1.991309052E0
1.882877708E0,2.292333069E0,-8.314160614E0,1.331331482E0
1.892829708E0,2.398612061E0,-8.198002167E0,1.316063232E0
1.902781708E0,2.371518402E0,-8.026458893E0,1.710792389E0
1.912733708E0,2.116897888E0,-8.224946136E0,2.110012207E0
1.922685708E0,2.006726990E0,-8.644673309E0,2.410138092E0
1.932637708E0,1.621428223E0,-9.071286163E0,2.887794800E0
1.942589708E0,1.619182892E0,-9.641001434E0,2.865042114E0
1.952542708E0,1.841320953E0,-1.032013916E1,2.879112854E0
1.962494708E0,1.738185425E0,-1.041234741E1,3.193908234E0
1.972446708E0,1.632505188E0,-1.010204269E1,3.016078033E0
